二维码,日期,结果,color格式,角度,要求版本,固件版本,要求二维码,距离(mm),ROI total pixel,Valid pixel,空洞率(%),填充率(%),fit plane dist/mm,绝对误差/距离(%),绝对误差/mm,空域噪声(%),空域噪声/mm,时域噪声(%),时域噪声/mm,空域视差噪声,波动率,roiTL-X,roiTL-Y,roiBR-X,roiBR-Y,相机基线,相机焦距,U0,V0
N09ASH24DH0082,2024-07-04 14:38,不良,unknown,0.384,,2024-05-31,,155,246600,212285,13.9154,86.0846,228.767,0.307,0.476,0.527948,0.818,0,0.000,0.301,0.0002,77,15,624,464,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:38,合格,unknown,1.205,,2024-05-31,,200,246636,246636,0,100,-73.6893,-0.684,-1.368,0.574102,1.148,0,0.000,0.265,0,63,19,620,460,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:39,合格,unknown,1.223,,2024-05-31,,300,247212,247212,0,100,-173.059,-0.526,-1.577,0.845597,2.537,30,90.000,0.259,0,51,22,617,457,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:39,合格,unknown,1.163,,2024-05-31,,400,246672,246672,0,100,-165.564,-0.353,-1.414,0.64068,2.563,48.1894,192.758,0.147,0,45,24,615,455,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:40,合格,unknown,1.095,,2024-05-31,,500,246156,246156,0,100,-269.53,-0.308,-1.539,0.805799,4.029,61.554,307.770,0.147,0,57,21,618,458,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:40,合格,unknown,1.361,,2024-05-31,,600,153888,153888,0,100,234.422,-0.102,-0.609,0.85023,5.101,79.5124,477.074,0.129,0,110,72,567,407,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:40,合格,unknown,0.722,,2024-05-31,,700,153888,153881,0.00476537,99.9952,-666.423,-0.279,-1.952,0.921173,6.448,103.064,721.449,0.119,0,110,72,567,407,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:40,不良,unknown,1.129,,2024-05-31,,800,153888,144794,5.90938,94.0906,4318.49,0.550,4.398,1.18656,9.492,170.489,1363.916,0.135,0,110,72,567,407,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:41,不良,unknown,0.972,,2024-05-31,,900,153888,124338,19.2025,80.7975,7952.35,0.871,7.836,1.26636,11.397,181.475,1633.279,0.129,0,110,72,567,407,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:41,不良,unknown,1.481,,2024-05-31,,1000,153888,108174,29.7061,70.2939,-1967.31,-0.297,-2.967,1.80196,18.020,430.258,4302.583,0.163,0,110,72,567,407,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:41,不良,unknown,0.794,,2024-05-31,,1100,123838,86853.2,29.8655,70.1345,20893.9,1.636,17.994,1.28413,14.125,229.032,2519.350,0.106,0,110,97,542,382,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:41,不良,unknown,0.343,,2024-05-31,,1200,123838,77753.1,37.2139,62.7861,19559.5,1.275,15.300,0.970161,11.642,184.992,2219.910,0.074,0,110,97,542,382,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:41,不良,unknown,0.429,,2024-05-31,,1300,123838,70183.7,43.3262,56.6738,32792.2,1.863,24.225,1.10003,14.300,254.929,3314.079,0.077,0,110,97,542,382,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:42,不良,unknown,1.558,,2024-05-31,,1400,123838,64305.6,48.0728,51.9272,56628.8,2.818,39.449,2.27304,31.823,984.66,13785.242,0.147,0,110,97,542,382,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:42,不良,unknown,0.790,,2024-05-31,,1500,123838,61560.9,50.2892,49.7108,-35260.4,-1.634,-24.507,2.42239,36.336,593.567,8903.511,0.153,0,110,97,542,382,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:42,不良,unknown,0.504,,2024-05-31,,1600,123838,60932.9,50.7963,49.2037,30802.3,1.141,18.251,2.32624,37.220,326.684,5226.939,0.140,0,110,97,542,382,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:42,不良,unknown,0.851,,2024-05-31,,1700,123838,59965.2,51.5777,48.4223,-25492.9,-0.941,-15.996,4.32431,73.513,2440.56,41489.482,0.241,0,110,97,542,382,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:42,不良,unknown,1.711,,2024-05-31,,1800,123838,59739.3,51.7601,48.2399,19690.7,0.552,9.939,3.8405,69.129,446.418,8035.521,0.208,0,110,97,542,382,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:42,不良,unknown,1.886,,2024-05-31,,1900,123838,58700.3,52.5991,47.4009,-96522.3,-2.726,-51.801,5.37688,102.161,2365.4,44942.620,0.283,0,110,97,542,382,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:42,不良,unknown,4.269,,2024-05-31,,2000,123838,58025.5,53.1441,46.8559,27006.6,0.625,12.503,6.94611,138.922,943.074,18861.483,0.354,0,110,97,542,382,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:43,不良,unknown,0.782,,2024-05-31,,2100,93150,41817.5,55.1074,44.8926,-23909.9,-0.590,-12.386,3.16358,66.435,628.084,13189.754,0.147,0,110,125,514,354,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:43,不良,unknown,1.215,,2024-05-31,,2200,93150,41885.9,55.0339,44.9661,-102288,-2.159,-47.495,5.2844,116.257,4558.41,100284.935,0.230,0,110,125,514,354,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:43,不良,unknown,3.011,,2024-05-31,,2300,93150,42059.1,54.848,45.152,161327,3.006,69.142,6.32544,145.485,1402.93,32267.469,0.271,0,110,125,514,354,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:43,不良,unknown,2.578,,2024-05-31,,2400,93150,41784.2,55.1431,44.8569,6587,0.073,1.745,6.31923,151.662,936.779,22482.704,0.276,0,110,125,514,354,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:43,不良,unknown,2.521,,2024-05-31,,2500,93150,41973.4,54.94,45.06,-181687,-2.947,-73.675,6.86428,171.607,2020.3,50507.425,0.300,0,110,125,514,354,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:43,不良,unknown,4.119,,2024-05-31,,2600,93150,41735.9,55.1949,44.8051,-198258,-2.971,-77.253,9.40149,244.439,7188.76,186907.753,0.389,0,110,125,514,354,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:43,不良,unknown,5.298,,2024-05-31,,2700,93150,41712.8,55.2198,44.7802,96897.5,1.292,34.888,11.3157,305.523,3024.38,81658.325,0.458,0,110,125,514,354,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:43,不良,unknown,5.930,,2024-05-31,,2800,93150,41177.5,55.7944,44.2056,-101081,-1.325,-37.100,11.0357,308.999,1924.3,53880.421,0.458,0,110,125,514,354,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:43,不良,unknown,5.680,,2024-05-31,,2900,93150,41410.7,55.5441,44.4559,-319070,-3.828,-111.024,11.0362,320.049,2406.44,69786.639,0.471,0,110,125,514,354,54.7449,166.486,279.146,245.714
N09ASH24DH0082,2024-07-04 14:44,不良,unknown,6.487,,2024-05-31,,3000,93150,41528.5,55.4176,44.5824,-586940,-6.555,-196.647,11.2242,336.726,3975.75,119272.629,0.486,0,110,125,514,354,54.7449,166.486,279.146,245.714
